tD,tR_over_tD,time,samples,odd_mean,odd_stderr,even_mean,even_stderr,max_bond_dimension,mean_cumulative_jumps
1,1,0.1,16,0.03855655816643772,2.690395141718635e-05,0.03998035474078964,0.0002589703431480298,100,0.0625
1,1,0.15,16,0.03851241772639881,2.662789754901687e-05,0.03995652849150682,0.0002805947998841593,100,0.0625
1,1,0.2,16,0.0384676510377108,2.723273825837183e-05,0.03992278756612884,0.0002922616345341078,100,0.0625
1,1,0.25,16,0.03842216639953581,2.858215128942639e-05,0.03987808260605498,0.000293064856519142,100,0.0625
1,1,0.3,16,0.03837606102719529,3.01350677439317e-05,0.039821387502838,0.000282277647966434,100,0.0625
1,1,0.35,16,0.03832846371891361,3.196997138211164e-05,0.03975139498410339,0.0002594856226054393,100,0.0625
1,1,0.4,16,0.03784178380685765,0.0004345320888917723,0.03994007406489595,0.0003431486018576539,100,0.125
1,1,0.45,16,0.03779455023164865,0.0004226256479124775,0.039829547825273,0.0003166343539557704,100,0.125
1,1,0.5,16,0.03772155315766585,0.0004184784686330905,0.03967494353166724,0.0002910334824848937,100,0.125
1,1,0,32,0.03867330414515012,2.49252427068601e-18,0.0398130156369773,1.246262135343005e-18,100,0
1,1,0.05,32,0.03862817400998289,3.738786406029014e-18,0.03976691267642048,1.246262135343005e-18,100,0
1,1,0.1,32,0.03857001014214632,1.345197570859317e-05,0.03985086956921563,0.000129485171574015,100,0.03125
1,1,0.15,32,0.03852573167517331,1.331394877450843e-05,0.03981623109156474,0.0001402973999420795,100,0.03125
1,1,0.2,32,0.03848126740683998,1.361636912918591e-05,0.03977665674886179,0.0001461308172670538,100,0.03125
1,1,0.25,32,0.03756442791755824,0.001073120429862725,0.03935419990171576,0.0003100169624659721,100,0.09375
1,1,0.3,32,0.0375111483583091,0.001080196322484456,0.03930903368265325,0.0003029422100272,100,0.09375
1,1,0.35,32,0.03748836895623834,0.0010565883372699,0.0392523115658843,0.0002959930366202185,100,0.09375
1,1,0.4,32,0.03700386097380038,0.001060862468858505,0.03949958812845469,0.0003734297148778514,100,0.15625
